"idade","vacina_newcastle","vacina_salmonella","nro_aves","tipo_exploracao","segmento","exploracao","finalidade","materiais_coletados_array"
"11 semanas","Sim, viva","Sim, viva",74670,Granja,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Fígado"",Meconio,""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Superfície,""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Soros,""Suabe de Arrasto Misto"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",Orgãos,Orgãos,Soros,Orgãos,Orgãos,Soros,""Fezes Frescas"",""Orgãos - Coração"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Tonsilas Cecais"",""Propé Misto"",""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Ovário"",""Orgãos - Fígado"",""Ovos Bicados "",Orgãos,Soros,""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Baço"",""Aves Mortas Misto""}"
"5 dias",Não,Não,28630,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Propé LM"",""Cepilho/Papel Fundo Caixa LF"",""Cepilho/Papel Fundo Caixa LM""}"
"12 semanas","Sim, viva",Não,41679,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Suabe de Arrasto Misto""}"
"49 semanas","Sim, viva/inativa","Sim, viva/inativa",8319,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"24 semanas","Sim, inativa.",Não,5225,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Propé Misto""}"
"15 semanas","Sim, inativa.","Sim, viva",5345,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",""Propé LM"",Soros}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",30294,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"29 semanas","Sim, viva/inativa","Sim, viva/inativa",33876,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"33 semanas","Sim, viva/inativa","Sim, inativa.",29551,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",39024,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",28342,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"24 semanas","Sim, inativa.","Sim, inativa.",25968,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto""}"
"64 semanas","Sim, viva/inativa","Sim, viva/inativa",38772,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"6 dias",Não,Não,26610,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Propé LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",8038,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",12395,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"66 semanas","Sim, viva/inativa","Sim, inativa.",12319,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"24 semanas","Sim, viva/inativa",Não,14371,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Suabe de Cloaca"",""Suabe de Traquéia""}"
"1 dia",Não,Não,42020,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto""}"
"35 semanas","Sim, viva/inativa","Sim, viva/inativa",16140,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",32156,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",8200,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"72 semanas","Sim, viva/inativa","Sim, inativa.",13060,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"25 semanas","Sim, inativa.","Sim, inativa.",8062,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"27 semanas","Sim, inativa.","Sim, inativa.",34641,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",7460,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"50 semanas","Sim, viva/inativa","Sim, inativa.",41640,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"27 semanas","Sim, viva/inativa","Sim, viva/inativa",20618,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de gema""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",19782,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"63 semanas","Sim, inativa.","Sim, inativa.",23281,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"31 semanas","Sim, viva/inativa","Sim, viva/inativa",32960,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"38 semanas","Sim, viva/inativa","Sim, viva/inativa",24723,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"35 semanas","Sim, inativa.","Sim, inativa.",14779,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto""}"
"11 semanas",Não,Não,45793,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Propé Misto""}"
"27 semanas","Sim, inativa.","Sim, inativa.",26145,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos""}"
"28 semanas","Sim, inativa.",Não,20869,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"53 semanas","Sim, viva/inativa","Sim, viva/inativa",44750,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, inativa.",Não,23484,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"10 semanas","Sim, inativa.",Não,27019,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Fezes Frescas""}"
"39 semanas","Sim, inativa.","Sim, inativa.",24631,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",41380,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"38 semanas","Sim, inativa.","Sim, inativa.",12899,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",8120,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",16268,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"38 semanas","Sim, inativa.","Sim, inativa.",16164,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
